line_id,time_window,character,text
VO_E1,00:00:20-00:00:32,ELI,So this is where we get eaten by, like, a raccoon ghost.
VO_A1,00:00:20-00:00:32,AVA,By your own breath if we don't relight.
VO_J1,00:00:32-00:00:44,JAY,Time check?
VO_A2,00:00:44-00:00:56,AVA,Midnight. Again.
VO_N1,00:00:56-00:01:08,NOOR,Again?
VO_M1,00:02:15-00:02:30,MAYA,Was there... another chair?
VO_E2,00:02:15-00:02:30,ELI,We brought four.
VO_A3,00:02:15-00:02:30,AVA,We brought five.
VO_J2,00:02:45-00:03:05,JAY,One more relight fixes it or breaks it.
VO_N2,00:02:45-00:03:05,NOOR,Or breaks us.
VO_A4,00:03:17-00:03:37,AVA,Phones only. No fire.
VO_J3,00:03:37-00:03:47,JAY,Stay down. Stay down...
VO_M2,00:04:26-00:04:46,MAYA,(exhale) Did we do it?
VO_A5,00:04:46-00:04:56,AVA,Don't.
VO_E3,00:05:04-00:05:14,ELI,(tiny) Guys?
