shot,tc_in,tc_out,duration_sec,description,sfx,vo
1,00:00:00,00:00:12,12,"WIDE WOODS LOCKOFF — dead ring, ember glow, fog rows","wind, insects, ember crackle",""
2,00:00:12,00:00:20,8,"CU EMBER — tiny pulse; phone edge-light on stone","ember tick, distant wind",""
3,00:00:20,00:00:32,12,"GROUP MED — five teens ringed; no-bars icon close","cloth rustle","ELI joke"
4,00:00:32,00:00:44,12,"MATCH CU — strike; whoosh; lens-breath ripple","match strike, whoosh","JAY time check"
5,00:00:44,00:00:56,12,"WATCH/PHONE OTS — time snaps to 12:00; battery unchanged","low sting","AVA “Midnight. Again.”"
6,00:00:56,00:01:08,12,"REACTION 2-SHOT — Ava remembers; others blank","quiet bed","NOOR “Again?”"
7,00:01:08,00:01:23,15,"MARKER WIDE — stone stack at birch","rocks clack",""
8,00:01:23,00:01:35,12,"DOUSE WIDE — steam; darkness; breath","water pour, steam",""
9,00:01:35,00:02:15,40,"RELIGHT MONTAGE — ignition cycles; props drift","montage stings, ticks","loop banter"
10,00:02:15,00:02:30,15,"EMPTY CHAIR WIDE — one chair missing","room tone drop","MAYA whisper"
11,00:02:30,00:02:45,15,"PHONE LIVE PHOTO OTS — silhouette in scrub only during motion","UI tap, subtle sting",""
12,00:02:45,00:03:05,20,"ARGUE MED — stop vs. fix; wind teases coals","wind rise","JAY/NOOR argue"
13,00:03:05,00:03:17,12,"SCATTER RING — hands flip stones; bury coals","stone thuds","AVA resolve"
14,00:03:17,00:03:37,20,"PHONES-AS-LIGHT — faces lit by screens only","insects cut (silence)",""
15,00:03:37,00:03:47,10,"NEAR-IGNITION CU — coal almost catches; dies","tiny flare, die-out","JAY “Stay down…”"
16,00:03:47,00:03:59,12,"POWER BANK SMASH — remove constant variable","plastic crack",""
17,00:03:59,00:04:14,15,"TREELINE HOLD — shape halts at darkness boundary","low drone",""
18,00:04:14,00:04:26,12,"GROUP HUDDLE — resolve: no relight","breath",""
19,00:04:26,00:04:46,20,"DAWN PUSH — cooler to warm gradient; birds fade in","birds in","MAYA exhale"
20,00:04:46,00:04:56,10,"NOTIF POP — brief chime then devices die again","notif blip, power drop","AVA “Don’t.”"
21,00:04:56,00:05:04,8,"POCKET GLOW CU — faint ember in pocket","cloth rustle",""
22,00:05:04,00:05:14,10,"BUTTON OTS — lighter click closed; cut","lighter click","ELI tiny: “Guys?”"
